Disease,Language,Pathogenesis,References,Source,LastUpdated
Osteomyelitis,en,"1. Hematogenous seeding or contiguous spread/trauma → 2. Bacterial colonization of bone → 3. Neutrophilic inflammation and sequestrum formation → 4. Chronic infection with involucrum if untreated.","IDSA; Robbins Pathology",Guideline,2025-08-27
Cellulitis,en,"1. Skin barrier disruption → 2. Streptococci/Staph invade dermis/subcutis → 3. Local cytokine-mediated inflammation → 4. Lymphangitis/edema; rarely bacteremia.","IDSA; UpToDate",Manual,2025-08-27
Necrotizing Fasciitis,en,"1. Polymicrobial or GAS inoculation into deep fascia → 2. Toxin-mediated tissue ischemia and rapid fascial spread → 3. Thrombosis of microvasculature → 4. Systemic toxicity and shock.","IDSA; Harrison's",Guideline,2025-08-27
Tetanus,en,"1. C. tetani spores enter wound → 2. Anaerobic conditions produce tetanospasmin → 3. Toxin travels retrograde to CNS → 4. Blocks inhibitory neurotransmitters (GABA/glycine) → 5. Spastic paralysis.","CDC; WHO",Guideline,2025-08-27
Diphtheria,en,"1. Corynebacterium diphtheriae colonizes pharynx → 2. Exotoxin (A-B) halts protein synthesis (EF-2 inactivation) → 3. Pseudomembrane formation → 4. Systemic toxemia (myocarditis, neuropathy).","CDC; WHO",Guideline,2025-08-27
Pertussis,en,"1. Bordetella pertussis attaches to ciliated epithelium → 2. Pertussis toxin/paralyzes cilia → 3. Mucus stasis and lymphocytosis → 4. Paroxysmal cough with post-tussive emesis.","CDC; AAP Red Book",Guideline,2025-08-27
Botulism,en,"1. Ingestion/wound colonization by C. botulinum → 2. Botulinum neurotoxin blocks presynaptic acetylcholine release → 3. Flaccid descending paralysis → 4. Autonomic dysfunction.","CDC; UpToDate",Manual,2025-08-27
Inhalational Anthrax,en,"1. Inhaled B. anthracis spores reach mediastinal nodes → 2. Germination and toxin (LF/EF) production → 3. Hemorrhagic mediastinitis → 4. Sepsis and shock.","CDC; WHO",Guideline,2025-08-27
Leptospirosis,en,"1. Contact with urine-contaminated water → 2. Leptospira disseminate hematogenously → 3. Endothelial damage (capillary leak) → 4. Weil’s disease: jaundice, renal failure, hemorrhage.","WHO; UpToDate",Manual,2025-08-27
Brucellosis,en,"1. Ingestion/inhalation of Brucella spp. → 2. Intracellular survival in macrophages → 3. Granulomatous inflammation in reticuloendothelial system → 4. Undulant fevers, focal organ involvement.","WHO; CDC",Manual,2025-08-27
Visceral Leishmaniasis,en,"1. Sandfly inoculates Leishmania → 2. Parasites infect macrophages (amastigotes) → 3. Reticuloendothelial hyperplasia → 4. Pancytopenia, hepatosplenomegaly.","WHO; Harrison's",Manual,2025-08-27
Schistosomiasis,en,"1. Cercariae penetrate skin → 2. Adult worms in mesenteric/vesical veins → 3. Egg deposition triggers granulomas → 4. Periportal fibrosis/portal hypertension or urinary tract fibrosis.","WHO Parasitic Diseases",Guideline,2025-08-27
Lymphatic Filariasis,en,"1. Mosquito-borne Wuchereria/Brugia larvae → 2. Lymphatic colonization and inflammation → 3. Lymphatic dilation/valvular damage → 4. Lymphedema/elephantiasis.","WHO; CDC",Guideline,2025-08-27
Ascariasis,en,"1. Ingested eggs hatch in intestine → 2. Larvae migrate via lungs (Löffler) → 3. Return to gut and mature → 4. Mechanical/obstructive effects and malabsorption.","CDC; WHO",Manual,2025-08-27
Neurocysticercosis,en,"1. Ingestion of Taenia solium eggs → 2. Larvae encyst in CNS → 3. Host inflammatory response to dying cysts → 4. Seizures, hydrocephalus.","WHO; UpToDate",Manual,2025-08-27
Toxoplasmosis,en,"1. Ingestion of tissue cysts/oocysts → 2. Tachyzoite dissemination → 3. Tissue cysts (bradyzoites) persist → 4. Reactivation in immunosuppression causes encephalitis.","CDC; Harrison's",Manual,2025-08-27
Measles,en,"1. Respiratory transmission → 2. Viremia infects epithelial/endothelial cells → 3. Immunosuppression and mucosal damage → 4. Koplik spots, rash; risk of pneumonia/SSPE.","WHO; CDC",Guideline,2025-08-27
Mumps,en,"1. Respiratory spread → 2. Viremia to salivary glands/testes → 3. Glandular inflammation (parotitis/orchitis) → 4. Aseptic meningitis possible.","CDC; Harrison's",Manual,2025-08-27
Rubella,en,"1. Respiratory transmission → 2. Viremia with immune complex formation → 3. Rash/arthralgia; in pregnancy, placental infection → 4. Fetal organogenesis disruption (CRS).","WHO; CDC",Guideline,2025-08-27
Varicella (Chickenpox),en,"1. Aerosol/contact transmission → 2. Viremia with skin homing → 3. Intraepidermal vesicles → 4. Latency in dorsal root ganglia.","CDC; AAP Red Book",Guideline,2025-08-27
Herpes Zoster,en,"1. Reactivation of latent VZV → 2. Neuronal inflammation along dermatome → 3. Vesicular rash and neuropathic pain → 4. Postherpetic neuralgia from nerve injury.","UpToDate; Harrison's",Manual,2025-08-27
Rabies,en,"1. Bite inoculation of rabies virus → 2. Retrograde axonal transport to CNS → 3. Encephalitis with Negri bodies → 4. Autonomic dysfunction and respiratory failure.","WHO; CDC",Guideline,2025-08-27
Japanese Encephalitis,en,"1. Mosquito-borne flavivirus → 2. Hematogenous CNS invasion → 3. Neuronal necrosis/inflammation → 4. Seizures, coma.","WHO; UpToDate",Manual,2025-08-27
Chikungunya,en,"1. Aedes transmission → 2. Viremia and synovial tropism → 3. Immune-mediated arthritis/arthralgia → 4. Chronic joint pains in some.","WHO; CDC",Manual,2025-08-27
Zika Virus,en,"1. Aedes transmission/sexual → 2. Viremia; placental and neural progenitor tropism → 3. Immune-mediated damage → 4. Congenital microcephaly/GBS risk.","WHO; CDC",Guideline,2025-08-27
RSV Bronchiolitis,en,"1. RSV infects small airway epithelium → 2. Mucus plugs/edema/necrosis → 3. Air trapping and atelectasis → 4. Hypoxia, especially in infants.","AAP; UpToDate",Guideline,2025-08-27
H. pylori Gastritis,en,"1. Urease-mediated mucosal alkalinization → 2. Epithelial injury and neutrophilic infiltrate → 3. Chronic active gastritis → 4. Risk of ulcer, MALT lymphoma, gastric cancer.","Maastricht/Florence Consensus; Robbins",Guideline,2025-08-27
Acute Viral Gastroenteritis (Norovirus/Rotavirus),en,"1. Fecal–oral infection of enterocytes → 2. Malabsorption and secretory diarrhea → 3. Dehydration risk → 4. Self-limited in most.","CDC; WHO",Manual,2025-08-27
GERD,en,"1. LES dysfunction/hiatal hernia → 2. Reflux of gastric contents → 3. Esophageal mucosal injury → 4. Chronic inflammation; Barrett’s metaplasia risk.","ACG Guidelines; UpToDate",Guideline,2025-08-27
Cholelithiasis/Cholecystitis,en,"1. Cholesterol/pigment stone formation → 2. Cystic duct obstruction → 3. Gallbladder wall inflammation → 4. Risk of empyema, perforation.","Sabiston; ACG",Manual,2025-08-27
Acute Cholangitis,en,"1. Biliary obstruction (stone/stricture) → 2. Ascending bacterial infection → 3. Charcot triad from sepsis/biliary inflammation → 4. Risk of septic shock.","Tokyo Guidelines; UpToDate",Guideline,2025-08-27
NAFLD/NASH,en,"1. Insulin resistance → 2. Hepatic steatosis → 3. Lipotoxicity/oxidative stress → 4. Ballooning and fibrosis (NASH) → 5. Cirrhosis/HCC risk.","AASLD Guidelines",Guideline,2025-08-27
Chronic Hepatitis C,en,"1. HCV persistence via immune evasion → 2. Chronic necroinflammation → 3. Fibrogenesis with stellate cell activation → 4. Cirrhosis and HCC risk.","AASLD/IDSA",Guideline,2025-08-27
Pancreatic Adenocarcinoma,en,"1. KRAS/p16/TP53 mutations in ductal cells → 2. Desmoplastic stroma and immune evasion → 3. Early perineural/vascular invasion → 4. Metastasis (liver, peritoneum).","Robbins; NCCN",Manual,2025-08-27
Colorectal Cancer,en,"1. APC/Wnt pathway dysregulation → 2. Adenoma–carcinoma sequence with KRAS, TP53 mutations → 3. Invasion through wall → 4. Nodal/hematogenous spread.","NCCN; Robbins",Manual,2025-08-27
Breast Cancer (Invasive Ductal),en,"1. Hormonal/genetic drivers (BRCA, HER2, ER/PR) → 2. Ductal epithelial dysplasia → 3. Invasion and lymphatic spread → 4. Distant metastasis (bone, lung).","NCCN; Harrison's",Manual,2025-08-27
Prostate Cancer,en,"1. Androgen-driven epithelial proliferation with genomic alterations (TMPRSS2-ERG, PTEN loss) → 2. Peripheral zone carcinoma → 3. Local invasion; osteoblastic bone metastasis.","NCCN; UpToDate",Manual,2025-08-27
Cervical Cancer (HPV-related),en,"1. Persistent high-risk HPV infection (E6/E7) → 2. p53/Rb inactivation → 3. CIN progression → 4. Invasive carcinoma.","WHO; FIGO",Guideline,2025-08-27
Preeclampsia/Eclampsia,en,"1. Abnormal placentation with spiral artery remodeling failure → 2. Placental ischemia releases antiangiogenic factors → 3. Maternal endothelial dysfunction → 4. Hypertension, proteinuria; seizures in eclampsia.","ACOG; WHO",Guideline,2025-08-27
PCOS,en,"1. Insulin resistance and hyperinsulinemia → 2. Ovarian theca hyperandrogenism → 3. Follicular arrest/anovulation → 4. Metabolic syndrome risk.","Endocrine Society; UpToDate",Guideline,2025-08-27
Endometriosis,en,"1. Retrograde menstruation/ectopic implantation → 2. Estrogen-dependent inflammatory lesions → 3. Fibrosis/adhesions → 4. Dysmenorrhea/infertility.","ESHRE Guidelines",Guideline,2025-08-27
Benign Prostatic Hyperplasia,en,"1. Androgen/estrogen imbalance with aging → 2. Stromal/epithelial hyperplasia in transition zone → 3. Bladder outlet obstruction → 4. LUTS and retention risk.","AUA Guidelines",Guideline,2025-08-27
Osteoporosis,en,"1. Age/estrogen deficiency or secondary causes → 2. Increased bone resorption vs formation → 3. Trabecular thinning → 4. Fragility fractures.","Endocrine Society; NOF",Guideline,2025-08-27
Osteoarthritis,en,"1. Mechanical stress and aging → 2. Chondrocyte dysfunction and cartilage loss → 3. Subchondral bone remodeling/osteophytes → 4. Pain and stiffness.","ACR; Harrison's",Manual,2025-08-27
Gout,en,"1. Hyperuricemia → 2. Monosodium urate crystals in joints → 3. NLRP3 inflammasome activation → 4. Neutrophilic synovitis (acute flares) → 5. Tophi/chronic arthropathy.","ACR Guidelines; Robbins",Guideline,2025-08-27
Septic Arthritis,en,"1. Hematogenous/penetrating joint seeding → 2. Bacterial proliferation in synovium → 3. Purulent inflammation → 4. Rapid cartilage destruction if untreated.","IDSA; UpToDate",Manual,2025-08-27
Ankylosing Spondylitis,en,"1. HLA-B27–associated immune dysregulation → 2. Enthesitis and sacroiliitis → 3. New bone formation (syndesmophytes) → 4. Spine ankylosis.","ASAS/EULAR",Guideline,2025-08-27
Psoriasis,en,"1. Genetic predisposition (HLA-Cw6) → 2. Th17/IL-23 axis activation → 3. Keratinocyte hyperproliferation → 4. Plaque formation and systemic inflammation.","AAD; Robbins",Manual,2025-08-27
Psoriatic Arthritis,en,"1. Immune-mediated synovio-entheseal inflammation (Th17) → 2. Erosion and new bone formation → 3. Dactylitis and axial involvement.","GRAPPA; EULAR",Guideline,2025-08-27
Granulomatosis with Polyangiitis (GPA),en,"1. c-ANCA (PR3)–associated small-vessel vasculitis → 2. Necrotizing granulomas in respiratory tract → 3. Pauci-immune GN → 4. Multisystem ischemic injury.","EULAR; UpToDate",Guideline,2025-08-27
Kawasaki Disease,en,"1. Immune activation in genetically susceptible children (triggered by infection) → 2. Medium-vessel vasculitis → 3. Endothelial injury → 4. Coronary artery aneurysms risk.","AHA Pediatrics",Guideline,2025-08-27
Guillain–Barré Syndrome,en,"1. Post-infectious autoimmune response (molecular mimicry) → 2. Demyelination/axonal injury of peripheral nerves → 3. Ascending flaccid paralysis → 4. Autonomic dysfunction.","NINDS; UpToDate",Manual,2025-08-27
Myasthenia Gravis,en,"1. Autoantibodies to ACh receptor/MuSK → 2. Neuromuscular transmission failure → 3. Fluctuating fatigable weakness → 4. Thymic hyperplasia/thymoma association.","AAN; Harrison's",Manual,2025-08-27
Anaphylaxis,en,"1. IgE-mediated mast cell/basophil degranulation upon re-exposure → 2. Massive histamine/mediator release → 3. Vasodilation, bronchospasm, edema → 4. Shock and airway compromise.","WAO; UpToDate",Guideline,2025-08-27
Atopic Dermatitis,en,"1. Filaggrin/skin barrier defects + Th2 bias → 2. Allergen penetration → 3. Chronic eczematous inflammation → 4. Pruritus/lichenification.","AAD; UpToDate",Manual,2025-08-27
Stevens–Johnson Syndrome/TEN,en,"1. Drug-induced cytotoxic T-cell response → 2. Keratinocyte apoptosis (Fas/FasL, granulysin) → 3. Epidermal necrosis/detachment → 4. Mucocutaneous failure.","DermNet; UpToDate",Manual,2025-08-27
