id,subject,chapter,topic,question,optionA,optionB,optionC,optionD,answer,explanation
phy_heat_001,Physics,Heat & Thermodynamics,Thermal Expansion,A 2 m rod expands 2 mm on heating by 100°C. Coefficient α?,1.00E-03,1.00E-04,1.00E-05,1.00E-06,C,α=ΔL/LΔT=0.002/(2×100)=1e-5 Common trap: picking a value close to the correct one without applying the formula.
phy_heat_002,Physics,Heat & Thermodynamics,Specific Heat,Heat required to raise 1 kg water by 10°C?,2100 J,4200 J,8400 J,10000 J,B,Q=mcΔT=1×4200×10=42000 J Common trap: picking a value close to the correct one without applying the formula.
phy_heat_003,Physics,Heat & Thermodynamics,Latent Heat,Ice at 0°C melts without temperature rise due to?,Latent heat,Specific heat,Sensible heat,Expansion,A,Latent heat used in phase change Common trap: picking a value close to the correct one without applying the formula.
phy_heat_004,Physics,Heat & Thermodynamics,Thermodynamics,1st law of thermodynamics is?,Q=ΔU+W,Q=ΔU–W,ΔU=Q+W,W=Q+ΔU,A,Conservation of energy Common trap: picking a value close to the correct one without applying the formula.
phy_heat_005,Physics,Heat & Thermodynamics,Gas Laws,"For constant T, PV=constant is?",Boyle’s law,Charles’ law,Avogadro’s law,Gay-Lussac’s law,A,Boyle’s law Common trap: picking a value close to the correct one without applying the formula.
phy_heat_006,Physics,Heat & Thermodynamics,Gas Laws,"For constant P, V∝T is?",Boyle’s law,Charles’ law,Avogadro’s law,Hooke’s law,B,Charles’ law Common trap: picking a value close to the correct one without applying the formula.
phy_heat_007,Physics,Heat & Thermodynamics,Entropy,Entropy of universe during irreversible process?,Increases,Decreases,Zero,Constant,A,Entropy always increases Common trap: picking a value close to the correct one without applying the formula.
phy_heat_008,Physics,Heat & Thermodynamics,Engines,Efficiency of Carnot engine depends on?,Working substance,Temperature,Pressure,Volume,B,η=1–T₂/T₁ Common trap: picking a value close to the correct one without applying the formula.
phy_heat_009,Physics,Heat & Thermodynamics,Thermal Equilibrium,Zeroth law defines?,Heat,Temperature,Entropy,Energy,B,Temperature equality Common trap: picking a value close to the correct one without applying the formula.
phy_heat_010,Physics,Heat & Thermodynamics,Calorimetry,Method to measure specific heat?,Calorimeter,Thermometer,Manometer,Barometer,A,Calorimetry measures heat capacity Common trap: picking a value close to the correct one without applying the formula.
chem_phy_001,Chemistry,Physical Chemistry,Thermodynamics,Enthalpy change at constant pressure is?,Work,Internal energy,Heat of reaction,Entropy,C,ΔH=heat at constant pressure Common trap: picking a value close to the correct one without applying the formula.
chem_phy_002,Chemistry,Physical Chemistry,Thermochemistry,Unit of enthalpy?,J,Calorie,J/mol,Calorie/mol,C,Usually J/mol Common trap: picking a value close to the correct one without applying the formula.
chem_phy_003,Chemistry,Physical Chemistry,Chemical Kinetics,Rate depends on?,Concentration,Temperature,Catalyst,All,D,All factors affect rate Common trap: picking a value close to the correct one without applying the formula.
chem_phy_004,Chemistry,Physical Chemistry,Chemical Equilibrium,Le Chatelier principle predicts?,Equilibrium constant,Shift in equilibrium,Reaction order,Entropy change,B,System shifts to oppose change Common trap: picking a value close to the correct one without applying the formula.
chem_phy_005,Chemistry,Physical Chemistry,Electrochemistry,Standard electrode potential of hydrogen is?,0 V,1 V,–1 V,2 V,A,Defined as 0 V Common trap: picking a value close to the correct one without applying the formula.
chem_phy_006,Chemistry,Physical Chemistry,Electrolysis,Electrolysis of water produces at cathode?,O₂,H₂,OH⁻,H⁺,B,Hydrogen gas at cathode Common trap: picking a value close to the correct one without applying the formula.
chem_phy_007,Chemistry,Physical Chemistry,Solutions,Mole fraction is?,n/N,Na/N,Na/Nb,nA/(nA+nB),D,Mole fraction=component moles/total moles Common trap: picking a value close to the correct one without applying the formula.
chem_phy_008,Chemistry,Physical Chemistry,Colligative Properties,Relative lowering of vapor pressure depends on?,Solvent,Solution,Solute particles,Volume,C,Colligative property depends on solute Common trap: picking a value close to the correct one without applying the formula.
chem_phy_009,Chemistry,Physical Chemistry,Chemical Kinetics,Half life of 1st order reaction is?,Proportional to conc,Constant,Inverse,Double,B,t½=0.693/k constant Common trap: picking a value close to the correct one without applying the formula.
chem_phy_010,Chemistry,Physical Chemistry,Thermodynamics,Work done at constant volume is?,Maximum,Zero,Minimum,Negative,B,"At const V, W=0 Common trap: picking a value close to the correct one without applying the formula."
chem_inorg_001,Chemistry,Inorganic Chemistry,Periodic Table,Element with highest electronegativity?,Oxygen,Chlorine,Fluorine,Nitrogen,C,Fluorine=3.98 Common trap: picking a value close to the correct one without applying the formula.
chem_inorg_002,Chemistry,Inorganic Chemistry,Periodic Table,Alkali metals belong to group?,1,2,13,17,A,Group 1 Common trap: picking a value close to the correct one without applying the formula.
chem_inorg_003,Chemistry,Inorganic Chemistry,Periodic Trends,Atomic radius decreases across period due to?,Nuclear charge,Shielding,Electron gain,Neutrons,A,Increased nuclear charge Common trap: picking a value close to the correct one without applying the formula.
chem_inorg_004,Chemistry,Inorganic Chemistry,Hydrides,NH₃ is?,Ionic,Covalent,Metallic,Network,B,NH₃ has covalent bonds Common trap: picking a value close to the correct one without applying the formula.
chem_inorg_005,Chemistry,Inorganic Chemistry,Halogens,Which halogen is most reactive?,Cl,Br,I,F,D,F is most reactive Common trap: picking a value close to the correct one without applying the formula.
chem_inorg_006,Chemistry,Inorganic Chemistry,Ores,Bauxite is ore of?,Iron,Aluminum,Zinc,Copper,B,Bauxite→Aluminum Common trap: picking a value close to the correct one without applying the formula.
chem_inorg_007,Chemistry,Inorganic Chemistry,Ores,Hematite is ore of?,Iron,Zinc,Copper,Lead,A,Fe₂O₃ → Iron Common trap: picking a value close to the correct one without applying the formula.
chem_inorg_008,Chemistry,Inorganic Chemistry,Coordination,[Cu(NH₃)₄]²⁺ is called?,Tetraammine copper(II),Copper ammine,Blue complex,Cu complex,A,IUPAC name=Tetraammine copper(II) Common trap: picking a value close to the correct one without applying the formula.
chem_inorg_009,Chemistry,Inorganic Chemistry,Oxidation,Oxidation number of S in H₂SO₄?,+2,+4,+6,-2,C,S=+6 Common trap: picking a value close to the correct one without applying the formula.
chem_inorg_010,Chemistry,Inorganic Chemistry,Acids,Which is strong acid?,H₂CO₃,HCl,H₂S,H₃PO₄,B,HCl strong acid Common trap: picking a value close to the correct one without applying the formula.
chem_org_001,Chemistry,Organic Chemistry,Alcohols,Functional group in methanol?,–OH,–CHO,–COOH,–NH₂,A,Methanol has hydroxyl group Common trap: picking a value close to the correct one without applying the formula.
chem_org_002,Chemistry,Organic Chemistry,Aldehydes,IUPAC name of HCHO?,Methanal,Ethanol,Methanol,Formic acid,A,Formaldehyde = Methanal Common trap: picking a value close to the correct one without applying the formula.
chem_org_003,Chemistry,Organic Chemistry,Carboxylic acids,IUPAC name of CH₃COOH?,Ethanal,Ethanoic acid,Ethanol,Acetic acid,B,CH₃COOH=Ethanoic acid Common trap: picking a value close to the correct one without applying the formula.
chem_org_004,Chemistry,Organic Chemistry,Hydrocarbons,CH₄ is?,Alkane,Alkene,Alkyne,Arene,A,Methane=Alkane Common trap: picking a value close to the correct one without applying the formula.
chem_org_005,Chemistry,Organic Chemistry,Isomerism,Butane & Isobutane are?,Chain isomers,Position isomers,Functional isomers,Geometrical isomers,A,They differ in chain structure Common trap: picking a value close to the correct one without applying the formula.
chem_org_006,Chemistry,Organic Chemistry,Reactions,Addition of H₂ to C=C is?,Oxidation,Hydrogenation,Dehydrogenation,Substitution,B,C=C + H₂ → hydrogenation Common trap: picking a value close to the correct one without applying the formula.
chem_org_007,Chemistry,Organic Chemistry,Polymers,Teflon is polymer of?,Ethene,Styrene,Tetrafluoroethene,Propene,C,PTFE from CF₂=CF₂ Common trap: picking a value close to the correct one without applying the formula.
chem_org_008,Chemistry,Organic Chemistry,Amines,–NH₂ group is?,Acidic,Basic,Neutral,Amphoteric,B,–NH₂ is basic Common trap: picking a value close to the correct one without applying the formula.
chem_org_009,Chemistry,Organic Chemistry,Aromatic,Benzene has?,4 bonds,5 bonds,6 bonds,7 bonds,C,Benzene has 6 delocalized π bonds Common trap: picking a value close to the correct one without applying the formula.
chem_org_010,Chemistry,Organic Chemistry,Reactions,Conversion of alcohol to aldehyde is?,Reduction,Oxidation,Hydrolysis,Neutralization,B,Oxidation forms aldehyde Common trap: picking a value close to the correct one without applying the formula.
bio_cell_001,Biology,Cell Biology,Organelles,Lysosomes are also called?,Suicidal bags,Energy house,Protein factory,Control center,A,Contain hydrolytic enzymes Common trap: picking a value close to the correct one without applying the formula.
bio_cell_002,Biology,Cell Biology,Organelles,DNA replication occurs in?,Mitochondria,Nucleus,Ribosome,Golgi,B,Occurs in nucleus Common trap: picking a value close to the correct one without applying the formula.
bio_cell_003,Biology,Cell Biology,Membrane,Fluid mosaic model describes?,Cell wall,Plasma membrane,Nucleus,Chloroplast,B,Membrane model Common trap: picking a value close to the correct one without applying the formula.
bio_cell_004,Biology,Cell Biology,Organelles,Chloroplast contains?,DNA,RNA,Ribosomes,All,D,"Chloroplast has DNA, RNA, ribosomes Common trap: picking a value close to the correct one without applying the formula."
bio_cell_005,Biology,Cell Biology,Cytoplasm,Site of glycolysis?,Nucleus,Cytoplasm,Chloroplast,Mitochondria,B,Glycolysis in cytoplasm Common trap: picking a value close to the correct one without applying the formula.
bio_cell_006,Biology,Cell Biology,Organelles,Rough ER has?,Ribosomes,Lysosomes,Mitochondria,Chloroplast,A,RER has ribosomes Common trap: picking a value close to the correct one without applying the formula.
bio_cell_007,Biology,Cell Biology,Division,Spindle fibers form in?,Prophase,Metaphase,Anaphase,Telophase,A,Spindle forms in prophase Common trap: picking a value close to the correct one without applying the formula.
bio_cell_008,Biology,Cell Biology,Division,Chromosomes align at equator in?,Prophase,Metaphase,Anaphase,Telophase,B,Metaphase Common trap: picking a value close to the correct one without applying the formula.
bio_cell_009,Biology,Cell Biology,Division,Separation of sister chromatids in?,Prophase,Metaphase,Anaphase,Telophase,C,Anaphase Common trap: picking a value close to the correct one without applying the formula.
bio_cell_010,Biology,Cell Biology,Division,Nuclear envelope reforms in?,Prophase,Metaphase,Anaphase,Telophase,D,Telophase Common trap: picking a value close to the correct one without applying the formula.
bio_gen_001,Biology,Genetics,Mendel,Law of segregation means?,Alleles separate,Alleles mix,Genes duplicate,Genes mutate,A,Alleles segregate during gamete formation Common trap: picking a value close to the correct one without applying the formula.
bio_gen_002,Biology,Genetics,Mendel,F2 monohybrid genotypic ratio?,01:02:01,3:1,9:3:3:1,1:1:A,01:02:01,None Common trap: picking a value close to the correct one without applying the formula.
bio_gen_003,Biology,Genetics,DNA,DNA is made of?,Amino acids,Nucleotides,Lipids,Sugars,B,DNA= nucleotides Common trap: picking a value close to the correct one without applying the formula.
bio_gen_004,Biology,Genetics,DNA,Backbone of DNA is?,Base pairs,Phosphate-sugar,Amino acids,Nucleotides,B,Sugar-phosphate backbone Common trap: picking a value close to the correct one without applying the formula.
bio_gen_005,Biology,Genetics,RNA,Uracil is present in?,DNA,RNA,Protein,Enzyme,B,Uracil in RNA Common trap: picking a value close to the correct one without applying the formula.
bio_gen_006,Biology,Genetics,DNA,Double helix model proposed by?,Darwin,Watson & Crick,Mendel,Franklin,B,Watson & Crick Common trap: picking a value close to the correct one without applying the formula.
bio_gen_007,Biology,Genetics,DNA,Complement of ATGC is?,TACG,TGCA,GCAT,CATG,B,Base pairing Common trap: picking a value close to the correct one without applying the formula.
bio_gen_008,Biology,Genetics,Protein synthesis,Process of mRNA formation?,Translation,Replication,Transcription,Splicing,C,Transcription Common trap: picking a value close to the correct one without applying the formula.
bio_gen_009,Biology,Genetics,Protein synthesis,Process of protein synthesis?,Translation,Replication,Transcription,Mutation,A,Translation Common trap: picking a value close to the correct one without applying the formula.
bio_gen_010,Biology,Genetics,Chromosomes,Human chromosomes number?,23,44,46,48,C,46 (23 pairs) Common trap: picking a value close to the correct one without applying the formula.
bio_phys_001,Biology,Human Physiology,Circulatory,Chamber pumping blood to lungs?,RA,RV,LA,LV,B,Right ventricle Common trap: picking a value close to the correct one without applying the formula.
bio_phys_002,Biology,Human Physiology,Respiratory,Gas exchange occurs in?,Bronchi,Alveoli,Trachea,Bronchioles,B,Alveoli Common trap: picking a value close to the correct one without applying the formula.
bio_phys_003,Biology,Human Physiology,Excretion,Basic unit of kidney?,Neuron,Nephron,Glomerulus,Ureter,B,Nephron Common trap: picking a value close to the correct one without applying the formula.
bio_phys_004,Biology,Human Physiology,Digestion,Protein digestion begins in?,Mouth,Stomach,Small intestine,Large intestine,B,Stomach Common trap: picking a value close to the correct one without applying the formula.
bio_phys_005,Biology,Human Physiology,Nervous,Functional unit of nervous system?,Neuron,Brain,Spinal cord,Nerve,A,Neuron Common trap: picking a value close to the correct one without applying the formula.
bio_phys_006,Biology,Human Physiology,Respiratory,Main gas stimulating breathing?,O₂,N₂,CO₂,H₂,C,CO₂ Common trap: picking a value close to the correct one without applying the formula.
bio_phys_007,Biology,Human Physiology,Endocrine,Hormone secreted by pancreas?,Insulin,Adrenaline,Thyroxine,Estrogen,A,Insulin Common trap: picking a value close to the correct one without applying the formula.
bio_phys_008,Biology,Human Physiology,Reproductive,Fertilization normally occurs in?,Ovary,Oviduct,Uterus,Vagina,B,Oviduct Common trap: picking a value close to the correct one without applying the formula.
bio_phys_009,Biology,Human Physiology,Circulatory,Normal human BP is?,80/120,120/90,120/80,140/90,C,120/80 mmHg Common trap: picking a value close to the correct one without applying the formula.
bio_phys_010,Biology,Human Physiology,Senses,Rods in eye are for?,Color,Dim light,Sharp vision,Reflexes,B,Rods sense dim light Common trap: picking a value close to the correct one without applying the formula.
bio_eco_001,Biology,Ecology,Population,Study of interactions among organisms?,Ecology,Biology,Zoology,Botany,A,Definition Common trap: picking a value close to the correct one without applying the formula.
bio_eco_002,Biology,Ecology,Biomes,Tropical rainforest has?,High rainfall,Low rainfall,Moderate,Desert,A,High rainfall Common trap: picking a value close to the correct one without applying the formula.
bio_eco_003,Biology,Ecology,Energy flow,Main energy source for ecosystem?,Wind,Sun,Water,Soil,B,Sunlight Common trap: picking a value close to the correct one without applying the formula.
bio_eco_004,Biology,Ecology,Food chain,Producers are?,Plants,Animals,Fungi,Bacteria,A,Plants produce Common trap: picking a value close to the correct one without applying the formula.
bio_eco_005,Biology,Ecology,Pollution,Main gas in greenhouse effect?,O₂,N₂,CO₂,H₂,C,CO₂ causes global warming Common trap: picking a value close to the correct one without applying the formula.
bio_eco_006,Biology,Ecology,Conservation,Biosphere reserve example in Nepal?,Sagarmatha,Lumbini,Chitwan,Janakpur,C,Chitwan National Park Common trap: picking a value close to the correct one without applying the formula.
bio_eco_007,Biology,Ecology,Biodiversity,Richest biodiversity found in?,Tropical,Temperate,Polar,Desert,A,Tropical Common trap: picking a value close to the correct one without applying the formula.
bio_eco_008,Biology,Ecology,Energy flow,Pyramid of energy is always?,Upright,Inverted,Irregular,Variable,A,Always upright Common trap: picking a value close to the correct one without applying the formula.
bio_eco_009,Biology,Ecology,Cycles,Nitrogen fixation by?,Bacteria,Fungi,Algae,Plants,A,Rhizobium bacteria Common trap: picking a value close to the correct one without applying the formula.
bio_eco_010,Biology,Ecology,Pollution,DDT accumulation is called?,Acid rain,Eutrophication,Bio-magnification,Deforestation,C,Increase across food chain Common trap: picking a value close to the correct one without applying the formula.
phy_mech_001,Physics,Mechanics,Newton's Laws,A force of 10 N acts on a 2 kg body. What is the acceleration?,2 m/s²,4 m/s²,5 m/s²,10 m/s²,B,a=F/m=10/2=5 m/s² Common trap: A or B (choosing smaller accelerations by dividing wrong).
phy_mech_002,Physics,Mechanics,Newton's Laws,"If the net force on a body is zero, the body will?",Stop immediately,Remain at rest or move uniformly,Accelerate,Move in circles,B,"Newton's 1st law → inertia Common trap: A (students think zero force means object stops, but it continues uniformly)."
phy_mech_003,Physics,Mechanics,Projectile Motion,Maximum range of a projectile occurs at angle?,30°,45°,60°,90°,B,Range is maximum at 45° Common trap: C (60° often picked due to misunderstanding complementary angles).
phy_mech_004,Physics,Mechanics,Work & Energy,Work done against gravity in raising 5 kg mass to 2 m?,50 J,75 J,100 J,120 J,C,W=mgh=5×10×2=100 J Common trap: B (75 J seems close if g or height are misapplied).
phy_mech_005,Physics,Mechanics,Gravitation,Value of g at Earth’s surface is maximum at?,Poles,Equator,Mountains,Sea level,A,"Earth’s shape & rotation → g max at poles Common trap: B (some assume equator has higher g, but rotation lowers it)."
phy_mech_006,Physics,Mechanics,Circular Motion,Centripetal force on 1 kg body moving at 2 m/s in 1 m radius?,1 N,2 N,3 N,4 N,D,F=mv²/r=1×4/1=4 N Common trap: picking a value close to the correct one without applying the formula.
phy_mech_007,Physics,Mechanics,Impulse,A 0.5 kg ball changes velocity from 2 m/s to 6 m/s. Impulse?,1 Ns,2 Ns,3 Ns,4 Ns,C,Impulse=Δp=0.5×(6–2)=2 Ns Common trap: picking a value close to the correct one without applying the formula.
phy_mech_008,Physics,Mechanics,Power,Power of a pump lifting 200 kg water to 10 m in 20 s?,500 W,800 W,1000 W,1200 W,C,"Work=2000 J, P=W/t=20000/20=1000 W Common trap: picking a value close to the correct one without applying the formula."
phy_mech_009,Physics,Mechanics,Momentum,"If momentum is doubled, kinetic energy becomes?",Doubled,Halved,Quadrupled,Same,C,KE∝p² Common trap: picking a value close to the correct one without applying the formula.
phy_mech_010,Physics,Mechanics,Projectile Motion,Time of flight for projectile at 30° with u=20 m/s?,1 s,2 s,3 s,4 s,C,T=2u sinθ/g ≈ 2×20×0.5/10=2 s Common trap: picking a value close to the correct one without applying the formula.
phy_heat_001,Physics,Heat & Thermodynamics,Thermal Expansion,A 2 m rod expands 2 mm on heating by 100°C. Coefficient α?,1.00E-03,1.00E-04,1.00E-05,1.00E-06,C,α=ΔL/LΔT=0.002/(2×100)=1e-5 Common trap: picking a value close to the correct one without applying the formula.
phy_heat_002,Physics,Heat & Thermodynamics,Specific Heat,Heat required to raise 1 kg water by 10°C?,2100 J,4200 J,8400 J,10000 J,B,Q=mcΔT=1×4200×10=42000 J Common trap: picking a value close to the correct one without applying the formula.
phy_heat_003,Physics,Heat & Thermodynamics,Latent Heat,Ice at 0°C melts without temperature rise due to?,Latent heat,Specific heat,Sensible heat,Expansion,A,Latent heat used in phase change Common trap: picking a value close to the correct one without applying the formula.
phy_heat_004,Physics,Heat & Thermodynamics,Thermodynamics,1st law of thermodynamics is?,Q=ΔU+W,Q=ΔU–W,ΔU=Q+W,W=Q+ΔU,A,Conservation of energy Common trap: picking a value close to the correct one without applying the formula.
phy_heat_005,Physics,Heat & Thermodynamics,Gas Laws,"For constant T, PV=constant is?",Boyle’s law,Charles’ law,Avogadro’s law,Gay-Lussac’s law,A,Boyle’s law Common trap: picking a value close to the correct one without applying the formula.
phy_heat_006,Physics,Heat & Thermodynamics,Gas Laws,"For constant P, V∝T is?",Boyle’s law,Charles’ law,Avogadro’s law,Hooke’s law,B,Charles’ law Common trap: picking a value close to the correct one without applying the formula.
phy_heat_007,Physics,Heat & Thermodynamics,Entropy,Entropy of universe during irreversible process?,Increases,Decreases,Zero,Constant,A,Entropy always increases Common trap: picking a value close to the correct one without applying the formula.
phy_heat_008,Physics,Heat & Thermodynamics,Engines,Efficiency of Carnot engine depends on?,Working substance,Temperature,Pressure,Volume,B,η=1–T₂/T₁ Common trap: picking a value close to the correct one without applying the formula.
phy_heat_009,Physics,Heat & Thermodynamics,Thermal Equilibrium,Zeroth law defines?,Heat,Temperature,Entropy,Energy,B,Temperature equality Common trap: picking a value close to the correct one without applying the formula.
phy_heat_010,Physics,Heat & Thermodynamics,Calorimetry,Method to measure specific heat?,Calorimeter,Thermometer,Manometer,Barometer,A,Calorimetry measures heat capacity Common trap: picking a value close to the correct one without applying the formula.
chem_phy_001,Chemistry,Physical Chemistry,Thermodynamics,Enthalpy change at constant pressure is?,Work,Internal energy,Heat of reaction,Entropy,C,ΔH=heat at constant pressure Common trap: picking a value close to the correct one without applying the formula.
chem_phy_002,Chemistry,Physical Chemistry,Thermochemistry,Unit of enthalpy?,J,Calorie,J/mol,Calorie/mol,C,Usually J/mol Common trap: picking a value close to the correct one without applying the formula.
chem_phy_003,Chemistry,Physical Chemistry,Chemical Kinetics,Rate depends on?,Concentration,Temperature,Catalyst,All,D,All factors affect rate Common trap: picking a value close to the correct one without applying the formula.
chem_phy_004,Chemistry,Physical Chemistry,Chemical Equilibrium,Le Chatelier principle predicts?,Equilibrium constant,Shift in equilibrium,Reaction order,Entropy change,B,System shifts to oppose change Common trap: picking a value close to the correct one without applying the formula.
chem_phy_005,Chemistry,Physical Chemistry,Electrochemistry,Standard electrode potential of hydrogen is?,0 V,1 V,–1 V,2 V,A,Defined as 0 V Common trap: picking a value close to the correct one without applying the formula.
chem_phy_006,Chemistry,Physical Chemistry,Electrolysis,Electrolysis of water produces at cathode?,O₂,H₂,OH⁻,H⁺,B,Hydrogen gas at cathode Common trap: picking a value close to the correct one without applying the formula.
chem_phy_007,Chemistry,Physical Chemistry,Solutions,Mole fraction is?,n/N,Na/N,Na/Nb,nA/(nA+nB),D,Mole fraction=component moles/total moles Common trap: picking a value close to the correct one without applying the formula.
chem_phy_008,Chemistry,Physical Chemistry,Colligative Properties,Relative lowering of vapor pressure depends on?,Solvent,Solution,Solute particles,Volume,C,Colligative property depends on solute Common trap: picking a value close to the correct one without applying the formula.
chem_phy_009,Chemistry,Physical Chemistry,Chemical Kinetics,Half life of 1st order reaction is?,Proportional to conc,Constant,Inverse,Double,B,t½=0.693/k constant Common trap: picking a value close to the correct one without applying the formula.
chem_phy_010,Chemistry,Physical Chemistry,Thermodynamics,Work done at constant volume is?,Maximum,Zero,Minimum,Negative,B,"At const V, W=0 Common trap: picking a value close to the correct one without applying the formula."
chem_inorg_001,Chemistry,Inorganic Chemistry,Periodic Table,Element with highest electronegativity?,Oxygen,Chlorine,Fluorine,Nitrogen,C,Fluorine=3.98 Common trap: picking a value close to the correct one without applying the formula.
chem_inorg_002,Chemistry,Inorganic Chemistry,Periodic Table,Alkali metals belong to group?,1,2,13,17,A,Group 1 Common trap: picking a value close to the correct one without applying the formula.
chem_inorg_003,Chemistry,Inorganic Chemistry,Periodic Trends,Atomic radius decreases across period due to?,Nuclear charge,Shielding,Electron gain,Neutrons,A,Increased nuclear charge Common trap: picking a value close to the correct one without applying the formula.
chem_inorg_004,Chemistry,Inorganic Chemistry,Hydrides,NH₃ is?,Ionic,Covalent,Metallic,Network,B,NH₃ has covalent bonds Common trap: picking a value close to the correct one without applying the formula.
chem_inorg_005,Chemistry,Inorganic Chemistry,Halogens,Which halogen is most reactive?,Cl,Br,I,F,D,F is most reactive Common trap: picking a value close to the correct one without applying the formula.
chem_inorg_006,Chemistry,Inorganic Chemistry,Ores,Bauxite is ore of?,Iron,Aluminum,Zinc,Copper,B,Bauxite→Aluminum Common trap: picking a value close to the correct one without applying the formula.
chem_inorg_007,Chemistry,Inorganic Chemistry,Ores,Hematite is ore of?,Iron,Zinc,Copper,Lead,A,Fe₂O₃ → Iron Common trap: picking a value close to the correct one without applying the formula.
chem_inorg_008,Chemistry,Inorganic Chemistry,Coordination,[Cu(NH₃)₄]²⁺ is called?,Tetraammine copper(II),Copper ammine,Blue complex,Cu complex,A,IUPAC name=Tetraammine copper(II) Common trap: picking a value close to the correct one without applying the formula.
chem_inorg_009,Chemistry,Inorganic Chemistry,Oxidation,Oxidation number of S in H₂SO₄?,+2,+4,+6,-2,C,S=+6 Common trap: picking a value close to the correct one without applying the formula.
chem_inorg_010,Chemistry,Inorganic Chemistry,Acids,Which is strong acid?,H₂CO₃,HCl,H₂S,H₃PO₄,B,HCl strong acid Common trap: picking a value close to the correct one without applying the formula.
chem_org_001,Chemistry,Organic Chemistry,Alcohols,Functional group in methanol?,–OH,–CHO,–COOH,–NH₂,A,Methanol has hydroxyl group Common trap: picking a value close to the correct one without applying the formula.
chem_org_002,Chemistry,Organic Chemistry,Aldehydes,IUPAC name of HCHO?,Methanal,Ethanol,Methanol,Formic acid,A,Formaldehyde = Methanal Common trap: picking a value close to the correct one without applying the formula.
chem_org_003,Chemistry,Organic Chemistry,Carboxylic acids,IUPAC name of CH₃COOH?,Ethanal,Ethanoic acid,Ethanol,Acetic acid,B,CH₃COOH=Ethanoic acid Common trap: picking a value close to the correct one without applying the formula.
chem_org_004,Chemistry,Organic Chemistry,Hydrocarbons,CH₄ is?,Alkane,Alkene,Alkyne,Arene,A,Methane=Alkane Common trap: picking a value close to the correct one without applying the formula.
chem_org_005,Chemistry,Organic Chemistry,Isomerism,Butane & Isobutane are?,Chain isomers,Position isomers,Functional isomers,Geometrical isomers,A,They differ in chain structure Common trap: picking a value close to the correct one without applying the formula.
chem_org_006,Chemistry,Organic Chemistry,Reactions,Addition of H₂ to C=C is?,Oxidation,Hydrogenation,Dehydrogenation,Substitution,B,C=C + H₂ → hydrogenation Common trap: picking a value close to the correct one without applying the formula.
chem_org_007,Chemistry,Organic Chemistry,Polymers,Teflon is polymer of?,Ethene,Styrene,Tetrafluoroethene,Propene,C,PTFE from CF₂=CF₂ Common trap: picking a value close to the correct one without applying the formula.
chem_org_008,Chemistry,Organic Chemistry,Amines,–NH₂ group is?,Acidic,Basic,Neutral,Amphoteric,B,–NH₂ is basic Common trap: picking a value close to the correct one without applying the formula.
chem_org_009,Chemistry,Organic Chemistry,Aromatic,Benzene has?,4 bonds,5 bonds,6 bonds,7 bonds,C,Benzene has 6 delocalized π bonds Common trap: picking a value close to the correct one without applying the formula.
